#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
195.,Karahan Efeoglu,MANI,10,6.0,2.0,0.7,1.8,389,0.4,1.3,308,0.2,0.2,1.000,0.5,0.5,1.0,0.6,0.1,0.0,0.2,0.8
196.,Altan Camoglu,MANI,24,9.1,2.0,0.6,2.2,283,0.2,1.2,143,0.5,0.7,813,0.4,0.7,1.0,0.5,0.1,0.0,0.2,2.3
197.,Dorukhan Engindeniz,TRA,23,6.8,1.7,0.6,1.2,481,0.4,0.9,476,0.1,0.2,750,0.2,0.4,0.6,0.3,0.2,0.0,0.1,0.8
198.,Ege Arar,TRA,28,8.0,1.4,0.7,1.5,452,0.0,0.0,0,0.0,0.1,250,0.7,0.9,1.6,0.6,0.2,0.5,0.5,1.8
199.,Thomas Akyazili,ENEN,19,5.8,1.4,0.5,1.4,333,0.2,0.8,267,0.2,0.3,800,0.2,0.7,0.8,0.5,0.7,0.0,0.1,1.2
200.,Tibet Gorener,GAL,11,5.4,1.4,0.5,1.5,313,0.3,1.2,231,0.2,0.2,1.000,0.5,0.1,0.5,0.0,0.1,0.1,0.0,0.7
201.,Mert Emre Eksioglu,FEN,23,6.5,1.3,0.3,1.0,348,0.2,0.5,364,0.4,0.7,600,0.4,0.5,0.9,0.7,0.2,0.0,0.4,0.9
202.,Yigit Ozkan,DEM,24,9.3,1.3,0.4,1.9,222,0.1,0.8,150,0.3,0.3,875,0.1,0.5,0.5,0.6,0.7,0.0,0.7,1.5
203.,Emircan Kosut,TUR,14,5.3,1.1,0.4,0.9,500,0.0,0.0,0,0.3,0.5,571,0.3,0.6,0.9,0.1,0.1,0.6,0.4,1.1
204.,Koray Cekici,MER,19,7.3,1.1,0.4,1.3,292,0.1,0.2,333,0.3,0.3,833,0.6,0.6,1.2,0.3,0.2,0.2,0.2,0.9
205.,Erten Gazi,ENEN,17,6.0,0.9,0.4,1.4,250,0.1,0.6,91,0.2,0.2,750,0.1,0.5,0.6,0.2,0.3,0.1,0.2,0.6
206.,Boran Guler,SOC,12,6.1,0.9,0.3,0.9,364,0.2,0.6,286,0.1,0.3,250,0.2,0.7,0.8,0.3,0.3,0.1,0.3,1.2
207.,Metehan Akyel,ENEN,18,4.2,0.9,0.4,0.7,583,0.0,0.0,0,0.1,0.3,400,0.5,0.7,1.2,0.2,0.2,0.1,0.1,1.0
208.,Serkan Mentese,PIN,20,5.6,0.9,0.3,0.9,353,0.2,0.6,273,0.1,0.2,500,0.2,0.7,0.8,0.5,0.4,0.1,0.4,0.9
209.,Ege Ozcelik,PIN,21,3.6,0.5,0.2,0.8,250,0.0,0.5,91,0.1,0.2,500,0.0,0.2,0.3,0.1,0.3,0.0,0.1,0.4
210.,Bora Satir,BURS,15,2.3,0.4,0.1,0.3,400,0.1,0.2,333,0.1,0.1,500,0.0,0.1,0.1,0.3,0.1,0.0,0.2,0.3
211.,Erbey Paltaci,MERK,15,1.5,0.2,0.1,0.1,500,0.1,0.1,500,0.0,0.1,0,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.4
