#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
242.,George Papagiannis,EFE,367,367,53.3,8.9,20.9,15.0,10.4,11.8,1.5,4.1,11.3,1.9,0.7,100.6,118.5,-17.9,18.8,9.0
243.,Dejan Davidovac,ZVE,642,618,169.7,7.4,11.5,9.5,4.3,10.5,1.6,0.8,7.3,0.3,1.4,135.8,114.2,21.6,56.6,8.9
244.,Joel Ayayi,PAR,446,446,60.6,11.9,15.3,13.5,12.1,19.6,2.6,0.0,14.4,-1.1,0.9,100.4,112.1,-11.7,32.0,8.8
245.,Onuralp Bitim,FEN,604,603,140.2,2.6,13.5,8.2,4.3,14.7,2.0,2.3,11.6,-1.9,1.3,111.0,110.1,0.9,52.4,8.7
246.,Bodian Massa,LYV,508,500,153.8,10.9,20.5,15.4,6.8,22.4,1.5,3.0,16.4,-5.2,1.1,93.3,115.4,-22.1,105.8,8.7
247.,Daniel Hackett,BOL,568,528,156.3,4.3,15.8,10.2,14.1,21.2,1.5,0.2,12.2,0.7,1.3,109.7,118.7,-8.9,106.8,8.6
248.,Myles Cale,FCB,498,471,145.0,6.7,10.4,8.5,6.8,7.5,1.9,1.1,11.3,1.4,1.1,116.9,117.2,-0.2,87.9,8.6
249.,Arijan Lakic,PAR,535,516,149.2,4.6,12.4,8.4,6.5,9.8,2.5,0.7,10.5,0.7,1.1,114.2,115.7,-1.5,58.3,8.5
250.,Will Rayman,MAC,540,483,141.2,8.8,13.1,10.9,3.2,6.0,1.2,1.4,11.5,-0.1,1.4,125.0,123.1,1.9,73.6,8.5
251.,Klemen Prepelic,DUB,571,500,148.7,1.5,9.1,5.4,20.0,19.1,1.8,0.0,13.7,3.5,1.4,114.7,121.0,-6.3,63.0,8.5
252.,Brandon Taylor,BOL,602,591,188.0,0.0,7.8,4.0,31.0,30.8,1.3,0.0,18.4,0.8,1.2,101.0,117.7,-16.7,17.9,8.4
253.,Nikola Kalinic,ZVE,575,551,152.2,5.8,13.3,9.6,11.5,22.4,1.2,1.3,12.8,-1.1,1.3,108.2,116.4,-8.2,180.1,8.3
254.,Edwin Jackson,LYV,526,508,148.1,1.5,7.9,4.5,13.9,13.3,0.2,0.3,21.6,-0.6,1.1,102.7,125.6,-23.0,46.4,8.0
255.,Enzo Andre Shahrvin,PAR,559,615,61.5,8.6,27.2,17.5,7.5,32.8,1.1,5.8,9.8,-3.6,1.2,94.5,116.2,-21.7,22.1,7.9
256.,James Birsen,FEN,544,466,157.8,7.4,17.3,12.5,4.6,17.4,1.6,0.8,11.1,-2.1,1.3,110.1,110.9,-0.8,47.1,7.9
257.,Stefan Miljenovic,ZVE,537,441,145.3,1.6,13.0,7.2,15.4,15.7,1.3,1.4,14.0,2.4,1.4,115.1,119.8,-4.7,13.0,7.8
258.,Ignas Brazdeikis,ZAL,450,425,147.6,5.1,11.3,8.2,8.2,8.1,0.9,0.3,18.9,0.4,1.0,101.9,119.4,-17.4,85.3,7.7
259.,Karim Jallow,BOL,530,509,137.5,5.2,12.0,8.6,7.3,16.0,1.2,0.6,13.4,-1.4,1.2,103.1,121.0,-17.9,131.8,7.7
260.,Vanja Marinkovic,PAR,519,490,148.7,2.2,9.0,5.3,6.0,9.2,1.4,0.3,14.8,-0.3,1.1,105.5,126.6,-21.1,54.0,7.7
261.,Melvin Ajinca,LYV,482,456,148.4,5.5,7.9,6.6,5.3,10.2,1.5,0.2,18.3,-2.0,1.0,99.8,121.7,-21.9,73.9,7.5
262.,David Lighty,LYV,515,496,146.4,5.2,8.2,6.6,10.2,11.7,1.1,0.4,11.8,1.2,1.1,110.7,121.9,-11.2,96.3,7.4
263.,Ish Wainright,HAP,487,474,139.6,4.6,10.1,7.5,6.7,5.7,2.0,0.3,9.6,2.1,1.0,114.5,116.7,-2.1,150.6,7.4
264.,Panagiotis Kalaitzakis,PAN,494,500,100.4,1.9,13.5,7.7,8.4,10.2,2.5,0.0,10.5,1.8,1.0,106.8,115.9,-9.0,20.1,7.3
265.,Erkan Yilmaz,EFE,461,341,108.6,5.3,19.3,12.1,8.9,28.3,3.6,2.7,10.3,-2.0,1.3,90.0,109.7,-19.8,32.9,6.9
266.,Nico Mannion,MIL,485,478,131.0,0.5,6.9,3.8,29.2,20.0,0.4,0.0,23.4,2.4,1.0,96.3,125.0,-28.7,41.4,6.9
267.,Juani Marcos,FCB,437,437,64.4,4.0,10.0,7.0,22.3,20.2,2.3,0.0,16.3,3.1,0.9,97.6,115.6,-18.0,44.8,6.9
268.,Awudu Abass,DUB,531,517,140.1,5.7,6.2,6.0,4.9,7.9,1.1,0.8,9.5,0.7,1.1,117.7,123.4,-5.7,67.3,6.8
269.,Stefano Tonut,MIL,461,375,112.5,2.8,10.0,6.4,7.7,9.3,3.1,0.0,5.8,2.6,1.1,116.9,118.4,-1.5,11.8,6.3
270.,Rafael Villar,BASK,519,471,147.1,3.1,9.2,6.2,12.6,14.1,2.2,0.6,5.9,4.1,1.1,124.3,121.2,3.1,22.1,6.2
271.,Frank Ntilikina,OLY,517,479,158.9,3.8,4.8,4.4,14.6,22.2,1.5,2.8,16.2,-1.0,1.1,101.0,116.6,-15.6,46.4,6.2
272.,Armando Bacot,FEN,500,445,152.5,10.0,12.8,11.4,9.5,28.7,1.5,3.1,15.6,-5.5,1.1,92.2,110.2,-18.0,34.5,6.2
273.,Kostas Papanikolaou,OLY,495,500,96.7,3.0,12.6,8.0,16.7,24.4,1.5,0.4,13.3,0.8,1.0,98.4,116.0,-17.5,83.4,6.0
274.,Dovydas Giedraitis,ZAL,464,459,116.4,6.4,8.2,7.3,13.9,22.1,1.6,0.0,9.7,2.1,1.0,105.8,121.8,-16.0,35.3,5.9
275.,Sergio Llull,RMB,416,389,123.2,1.9,7.1,4.6,20.9,12.6,0.8,0.0,18.9,4.3,0.9,99.4,120.5,-21.0,58.3,5.9
276.,Saben Lee,OLY,547,483,159.6,0.0,3.9,2.0,18.1,29.3,1.8,0.8,18.2,-3.3,1.3,93.6,126.0,-32.5,13.6,5.7
277.,Tyson Carter,ZVE,434,408,164.4,3.9,8.2,6.0,15.5,17.3,1.3,0.0,21.2,-1.4,0.9,92.1,121.1,-29.1,16.1,4.9
278.,David Kramer,RMB,453,444,115.3,4.4,9.0,6.9,10.8,13.4,1.0,0.0,13.3,1.3,1.0,103.0,118.2,-15.2,14.8,4.6
279.,Nemanja Dangubic,DUB,375,375,88.3,14.3,13.9,14.1,8.1,8.6,0.0,0.0,10.5,1.9,0.8,108.1,126.3,-18.2,11.4,4.5
280.,Isaac Nogues,VAL,0,0,0.0,6.0,21.7,13.8,17.2,33.3,6.3,0.0,6.3,4.6,0.0,75.7,106.4,-30.7,5.3,4.3
281.,Levi Randolph,HAP,399,370,123.8,5.5,7.9,6.8,4.4,14.3,2.2,0.0,13.5,-1.8,0.9,85.4,120.7,-35.3,6.1,3.5
282.,Guy Palatin,HAP,750,750,150.0,13.0,17.4,15.3,5.9,50.0,0.0,0.0,8.6,-6.0,1.5,100.3,121.9,-21.6,2.3,3.4
283.,Mehdy Ngouama,LYV,322,241,123.7,3.8,8.7,6.1,11.4,11.7,4.0,0.8,25.2,-2.1,0.7,74.9,118.3,-43.4,3.9,3.0
284.,Marius Grigonis,PAN,452,452,64.6,4.6,10.8,7.6,7.6,19.2,0.5,0.0,11.2,-0.9,0.9,92.9,120.2,-27.4,7.0,2.8
285.,Yago Dos Santos,ZVE,365,302,133.1,1.9,7.4,4.7,29.3,25.2,1.2,0.0,20.0,2.7,0.8,86.2,117.8,-31.6,27.5,2.6
286.,Xabier Lopez-Arostegui,VAL,366,310,125.2,2.8,9.8,6.3,10.5,20.5,1.2,0.0,15.3,-1.5,0.8,80.8,117.4,-36.6,4.1,1.6
287.,Aleksa Radanov,PAR,462,462,67.0,5.4,11.6,8.4,8.6,27.8,0.8,0.0,12.7,-3.5,0.9,84.0,112.3,-28.3,1.8,1.5
288.,Adam Atamna,LYV,219,181,102.0,6.2,9.9,7.9,18.3,14.0,2.9,1.2,19.1,1.9,0.5,66.7,121.2,-54.5,9.0,0.7
289.,Stefan Joksimovic,BASK,250,250,33.9,0.0,12.7,6.0,6.7,30.0,2.5,0.0,14.1,-6.1,0.5,46.7,124.0,-77.3,-3.5,-3.3
